Name,Pic,Gender,Str min,Str max,Dex min,Dex max,Vit min,Vit Max,Spec Min,Spec Max,Insight Min,Insight Max,HP Min,Int Rank Min,Abilities,Moves,Generation,Types,Environment
"""Bulbasaur""","""https://archives.bulbagarden.net/media/upload/thumb/f/fb/0001Bulbasaur.png/250px-0001Bulbasaur.png""","[""Male""; ""Female""]",2,4,2,4,2,4,2,4,2,4,3,0,"[""Overgrow""]","[[""Tackle""; 0];[""Growl""; 0];[""Leech Seed""; 1];[""Vine Whip""; 1];[""Poison Powder""; 2];[""Sleep Powder""; 2];[""Take Down""; 2];[""Razor Leaf""; 2];[""Sweet Scent""; 2];[""Growth""; 2]; [""Worry Seed""; 3];[""Double-Edge""; 3][""Synthesis""; 3];[""Solar Beam""; 4];[""Grassy Terrain""; 4]; [""Amnesia""; 4];[""Grass Pledge""; 4]]",1,"[""Grass""; ""Poison""]","[""Forest""; ""Jungle""]"
"""Ivysaur""","""https://archives.bulbagarden.net/media/upload/thumb/8/81/0002Ivysaur.png/250px-0002Ivysaur.png""","[""Male""; ""Female""]",2,4,2,4,2,4,2,5,2,5,4,1,"[""Overgrow""]","[[""Tackle""; 0];[""Growl""; 0];[""Leech Seed""; 1];[""Vine Whip""; 1];[""Poison Powder""; 2];[""Sleep Powder""; 2];[""Take Down""; 2];[""Razor Leaf""; 2];[""Sweet Scent""; 2];[""Growth""; 2]; [""Worry Seed""; 3];[""Double-Edge""; 3][""Synthesis""; 3];[""Solar Beam""; 3];[""Grassy Terrain""; 4]; [""Amnesia""; 4];[""Grass Pledge""; 4]]",1,"[""Grass""; ""Poison""]","[""Forest""; ""Jungle""]"
"""Venasaur""","""https://archives.bulbagarden.net/media/upload/thumb/6/6b/0003Venusaur.png/250px-0003Venusaur.png""","[""Male""; ""Female""]",2,5,2,5,2,5,3,6,3,6,5,2,"[""Overgrow""]","[[""Tackle""; 0];[""Growl""; 0];[""Leech Seed""; 1];[""Vine Whip""; 1];[""Poison Powder""; 2];[""Sleep Powder""; 2];[""Take Down""; 2];[""Razor Leaf""; 2];[""Sweet Scent""; 2];[""Growth""; 2]; [""Worry Seed""; 2];[""Double-Edge""; 2][""Synthesis""; 3];[""Petal Dance""; 2];[""Petal Blizzard""; 3];[""Solar Beam""; 3];[""Outrage""; 4];[""Curse""; 4];[""Frenzy Plant""; 4]]",1,"[""Grass""; ""Poison""]","[""Forest""; ""Jungle""]"
"""Charmander""","""https://archives.bulbagarden.net/media/upload/thumb/2/27/0004Charmander.png/250px-0004Charmander.png""","[""Male""; ""Female""]",2,4,2,4,1,3,2,4,2,4,3,0,"[""Blaze""]","[[""Scratch""; 0];[""Growl""; 0];[""Ember""; 1];[""Smokescreen""; 1];[""Dragon Rage""; 2];[""Scary Face""; 2];[""Fire Fang""; 2];[""Flame Burst""; 2];[""Slash""; 2];[""Fire Spin""; 2];[""Flamethrower""; 3];[""Inferno""; 3];[""Metal Claw""; 4];[""Dragon Dance""; 4];[""Fire Pledge""; 4]]",1,"[""Fire""]","[""Forest""; ""Mountain""; ""Jungle""]"
"""Charmeleon""","""https://archives.bulbagarden.net/media/upload/thumb/0/05/0005Charmeleon.png/250px-0005Charmeleon.png""","[""Male""; ""Female""]",2,4,2,5,2,4,2,5,2,4,4,1,"[""Blaze""]","[[""Scratch""; 0];[""Growl""; 0];[""Ember""; 1];[""Smokescreen""; 1];[""Dragon Rage""; 2];[""Scary Face""; 2];[""Fire Fang""; 2];[""Flame Burst""; 2];[""Slash""; 2];[""Fire Spin""; 2];[""Flamethrower""; 3];[""Inferno""; 3];[""Metal Claw""; 4];[""Dragon Dance""; 4];[""Fire Pledge""; 4]]",1,"[""Fire""]","[""Forest""; ""Mountain""; ""Jungle""]"
"""Charizard""","""https://archives.bulbagarden.net/media/upload/thumb/3/38/0006Charizard.png/250px-0006Charizard.png""","[""Male""; ""Female""]",2,5,3,6,2,5,3,6,2,5,5,2,"[""Blaze""]","[[""Scratch""; 0];[""Growl""; 0];[""Ember""; 1];[""Smokescreen""; 0];[""Dragon Rage""; 2];[""Air Slash""; 2];[""Wing Attack""; 2];[""Scary Face""; 2];[""Fire Fang""; 2];[""Flame Burst""; 2];[""Slash""; 2];[""Fire Spin""; 2];[""Dragon Claw""; 3];[""Shadow Claw""; 3];[""Flare Blitz""; 3];[""Heat Wave""; 3];[""Flamethrower""; 3];[""Inferno""; 4];[""Thunder Punch""; 4];[""Outrage""; 4];[""Blast Burn""; 4]]",1,"[""Fire""; ""Flying""]","[""Forest""; ""Mountain""; ""Jungle""]"
"""Squirtle""","""https://archives.bulbagarden.net/media/upload/thumb/5/54/0007Squirtle.png/250px-0007Squirtle.png""","[""Male""; ""Female""]",2,4,1,3,2,4,2,4,2,4,3,0,"[""Torrent""]","[[""Tackle""; 0];[""Tail Whip""; 0];[""Water Gun""; 1];[""Withdraw""; 1];[""Bubble""; 2];[""Bite""; 2];[""Rapid Spin""; 2];[""Protect""; 2];[""Water Pulse""; 2];[""Aqua Tail""; 2];[""Skull Bash""; 3];[""Iron Defense""; 3];[""Rain Dance""; 3];[""Hydro Pump""; 3];[""Aqua Jet""; 4];[""Water Pledge""; 4];[""Icy Wind""; 4]]",1,"[""Water""]","[""Ocean""; ""Freshwater""; ""Jungle""]"
"""Wartortle""","""https://archives.bulbagarden.net/media/upload/thumb/0/0f/0008Wartortle.png/250px-0008Wartortle.png""","[""Male""; ""Female""]",2,4,2,4,2,5,2,4,2,5,4,1,"[""Torrent""]","[[""Tackle""; 0];[""Tail Whip""; 0];[""Water Gun""; 1];[""Withdraw""; 1];[""Bubble""; 2];[""Bite""; 2];[""Rapid Spin""; 2];[""Protect""; 2];[""Water Pulse""; 2];[""Aqua Tail""; 2];[""Skull Bash""; 3];[""Iron Defense""; 3];[""Rain Dance""; 3];[""Hydro Pump""; 3];[""Mud Sport""; 4];[""Water Pledge""; 4];[""Icy Wind""; 4]]",1,"[""Water""]","[""Ocean""; ""Freshwater""; ""Jungle""]"
"""Blastoise""","""https://archives.bulbagarden.net/media/upload/thumb/0/0a/0009Blastoise.png/250px-0009Blastoise.png""","[""Male""; ""Female""]",2,5,2,5,3,6,2,5,3,6,5,2,"[""Torrent""]","[[""Tackle""; 0];[""Tail Whip""; 0];[""Water Gun""; 1];[""Withdraw""; 1];[""Bubble""; 2];[""Bite""; 2];[""Rapid Spin""; 2];[""Protect""; 2];[""Water Pulse""; 2];[""Aqua Tail""; 2][""Flash Cannon""; 2];[""Skull Bash""; 3];[""Iron Defense""; 3];[""Rain Dance""; 3];[""Hydro Pump""; 3];[""Zap Cannon""; 4];[""Outrage""; 4];[""Hydro Cannon""; 4]]",1,"[""Water""]","[""Ocean""; ""Freshwater""; ""Jungle""]"
"""Caterpie""","""https://archives.bulbagarden.net/media/upload/thumb/5/5e/0010Caterpie.png/250px-0010Caterpie.png""","[""Male""; ""Female""]",1,3,2,4,1,3,1,3,1,3,3,0,"[""Shield Dust""]","[[""Tackle""; 0];[""String Shot""; 0];[""Bug Bite""; 1];[""Electro Web""; 2]]",1,"[""Bug""]","[""Forest""; ""Plains""; ""Jungle""]"
"""Metapod""","""https://archives.bulbagarden.net/media/upload/thumb/d/da/0011Metapod.png/250px-0011Metapod.png""","[""Male""; ""Female""]",1,3,1,3,2,4,1,3,1,3,4,0,"[""Shed Skin""]","[[""Harden; 0];[""Iron Defense""; 2];[""Electro Web""; 2]]",1,"[""Bug""]","[""Forest""; ""Plains""; ""Jungle""]"
"""Butterfree""","""https://archives.bulbagarden.net/media/upload/thumb/5/55/0012Butterfree.png/250px-0012Butterfree.png""","[""Male""; ""Female""]",2,4,2,5,2,4,2,5,2,5,5,1,"[""Compoundeyes""]","[[""Confusion""; 0];[""Gust""; 0];[""Stun Spore""; 1];[""Sleep Powder""; 1];[""Poison Powder""; 1];[""Supersonic""; 2];[""Whirlwind""; 2];[""Psybeam""; 2];[""Silver Wind""; 2];[""Tailwind""; 2];[""Rage Powder""; 2];[""Captivate""; 2];[""Safeguard""; 3];[""Electro Web""; 3];[""Air Slash""; 3];[""Quiver Dance""; 3];[""Nightmare""; 4];[""Signal Beam""; 4];[""Bug Buzz""; 4]]",1,"[""Bug""]","[""Forest""; ""Plains""; ""Jungle""]"
"""Weedle""","""https://archives.bulbagarden.net/media/upload/thumb/3/36/0013Weedle.png/250px-0013Weedle.png""","[""Male""; ""Female""]",1,3,2,4,1,3,1,3,1,3,3,0,"[""Shield Dust""]","[[""Poison Sting""; 0];[""String Shot""; 0];[""Bug Bite""; 1];[""Electro Web""; 2]]",1,"[""Bug""]","[""Forest""; ""Plains""; ""Jungle""]"
"""Kakuna""","""https://archives.bulbagarden.net/media/upload/thumb/f/f3/0014Kakuna.png/250px-0014Kakuna.png""","[""Male""; ""Female""]",1,3,1,3,2,4,1,3,1,3,4,0,"[""Shed Skin""]","[[""Harden; 0];[""Iron Defense""; 2];[""Electro Web""; 2]]",1,"[""Bug""]","[""Forest""; ""Plains""; ""Jungle""]"
"""Beedrill""","""https://archives.bulbagarden.net/media/upload/thumb/f/f7/0015Beedrill.png/250px-0015Beedrill.png""","[""Male""; ""Female""]",2,5,2,5,2,4,2,4,2,5,5,1,"[""Swarm""]","[[""Fury Attack""; 0];[""Focus Energy""; 1];[""Twinneedle""; 1];[""Rage""; 2];[""Pursuit""; 2];[""Venoshock""; 2];[""Toxic Spikes""; 2];[""Pin Missle""; 2];[""Agility""; 2];[""Assurance""; 3];[""Poison Jab""; 3];[""Ominous Wind""; 3];[""Fell Stinger""; 3];[""Drill Run""; 4];[""Tailwind""; 4]; [""Endeavor""; 4]]",1,"[""Bug""]","[""Forest""; ""Plains""; ""Jungle""]"
"""Pidgey""","""https://archives.bulbagarden.net/media/upload/thumb/0/0c/0016Pidgey.png/250px-0016Pidgey.png""","[""Male""; ""Female""]",2,4,2,4,1,3,1,3,1,3,3,0,"[""Keen Eye""; ""Tangled Feet""]","[[""Tackle""; 0];[""Sand-Attack""; 0];[""Gust""; 1];[""Twister""; 1];[""Whirlwind""; 2];[""Quick Attack""; 2];[""Feather Dance""; 2];[""Agility""; 2];[""Wing Attack""; 2];[""Mirror Move""; 2];[""Tailwind""; 3];[""Roost""; 3];[""Air Slash""; 3];[""Hurricane""; 3];[""Feint Attack""; 4];[""Uproar""; 4];[""Steel Wing""; 4]]",1,"[""Normal""; ""Flying""]","[""Forest""; ""Plains""; ""Mountain""]"
"""Pidgeotto""","""https://archives.bulbagarden.net/media/upload/thumb/8/82/0017Pidgeotto.png/250px-0017Pidgeotto.png""","[""Male""; ""Female""]",2,4,2,5,2,4,2,4,2,4,4,1,"[""Keen Eye""; ""Tangled Feet""]","[[""Tackle""; 0];[""Sand-Attack""; 0];[""Gust""; 1];[""Twister""; 1];[""Whirlwind""; 2];[""Quick Attack""; 2];[""Feather Dance""; 2];[""Agility""; 2];[""Wing Attack""; 2];[""Mirror Move""; 2];[""Tailwind""; 3];[""Roost""; 3];[""Air Slash""; 3];[""Hurricane""; 4];[""Feint Attack""; 3];[""Uproar""; 4];[""Steel Wing""; 4]]",1,"[""Normal""; ""Flying""]","[""Forest""; ""Plains""; ""Mountain""]"
"""Pidgeot""","""https://archives.bulbagarden.net/media/upload/thumb/7/73/0018Pidgeot.png/250px-0018Pidgeot.png""","[""Male""; ""Female""]",2,5,3,6,2,5,2,5,2,5,5,2,"[""Keen Eye""; ""Tangled Feet""]","[[""Tackle""; 0];[""Sand-Attack""; 0];[""Gust""; 1];[""Twister""; 1];[""Whirlwind""; 2];[""Quick Attack""; 2];[""Ominous Wind""; 2];[""Feather Dance""; 2];[""Agility""; 2];[""Wing Attack""; 2];[""Mirror Move""; 2];[""Tailwind""; 3];[""Roost""; 3];[""Hurricane""; 4];[""Heat Wave""; 4];[""Reflect""; 4]]",1,"[""Normal""; ""Flying""]","[""Forest""; ""Plains""; ""Mountain""]"
"""Rattata""","""https://archives.bulbagarden.net/media/upload/thumb/a/aa/0019Rattata.png/250px-0019Rattata.png""","[""Male""; ""Female""]",2,4,2,5,1,3,1,3,1,3,3,0,"[""Run Away""; ""Guts""]","[[""Tackle""; 0];[""Tail Whip; 0];[""Quick Attack""; 1];[""Focus Energy""; 1];[""Bite""; 1];[""Pursuit""; 2];[""Hyper Fang""; 2];[""Sucker Punch""; 2];[""Assurance""; 2];[""Crunch""; 3];[""Super Fang""; 3];[""Double-Edge""; 3];[""Endeavor""; 3];[""Flame Wheel""; 4];[""Screech""; 4];[""Iron Tail""; 4]]",1,"[""Normal""]","[""Forest""; ""Plains""; ""City""; ""Mountain""]"
"""Raticate""","""https://archives.bulbagarden.net/media/upload/thumb/2/2c/0020Raticate.png/250px-0020Raticate.png""","[""Male""; ""Female""]",2,5,3,6,2,4,2,4,2,5,4,1,"[""Run Away""; ""Guts""]","[[""Tackle""; 0];[""Tail Whip; 0];[""Quick Attack""; 1];[""Focus Energy""; 1];[""Bite""; 1];[""Pursuit""; 2];[""Hyper Fang""; 2];[""Sucker Punch""; 2];[""Scary Face""; 2];[""Assurance""; 2];[""Crunch""; 3];[""Super Fang""; 3];[""Double-Edge""; 3];[""Endeavor""; 3];[""Flame Wheel""; 2];[""Last Resort""; 4];[""Final Gambit""; 4]]",1,"[""Normal""]","[""Forest""; ""Plains""; ""City""; ""Mountain""]"
"""Rattata (Alola)""","""https://archives.bulbagarden.net/media/upload/thumb/b/be/0019Rattata-Alola.png/600px-0019Rattata-Alola.png""","[""Male""; ""Female""]",2,4,2,5,1,3,1,3,1,3,3,0,"[""Gluttony""; ""Hustle""]","[[""Tackle""; 0];[""Tail Whip; 0];[""Quick Attack""; 1];[""Focus Energy""; 1];[""Bite""; 1];[""Pursuit""; 2];[""Hyper Fang""; 2];[""Sucker Punch""; 2];[""Assurance""; 2];[""Crunch""; 3];[""Super Fang""; 3];[""Double-Edge""; 3];[""Endeavor""; 3];[""Reversal""; 4];[""Snatch""; 4];[""Switcheroo""; 4]]",7,"[""Dark""; ""Normal""]","[""Forest""; ""Plains""; ""Mountain""; ""City""; ""Jungle""]"
"""Raticate (Alola)""","""https://archives.bulbagarden.net/media/upload/thumb/a/ad/0020Raticate-Alola.png/600px-0020Raticate-Alola.png""","[""Male""; ""Female""]",2,5,2,5,2,5,1,3,2,5,4,1,"[""Hustle""; ""Thick Fat""]","[[""Tackle""; 0];[""Tail Whip; 0];[""Quick Attack""; 1];[""Focus Energy""; 1];[""Bite""; 1];[""Scary Face""; 2];[""Pursuit""; 2];[""Hyper Fang""; 2];[""Sucker Punch""; 2];[""Assurance""; 2];[""Crunch""; 3];[""Super Fang""; 3];[""Double-Edge""; 3];[""Endeavor""; 3];[""Swords Dance""; 3];[""Stockpile""; 4];[""Swallow""; 4];[""Me First""; 4]]",7,"[""Dark""; ""Normal""]","[""Forest""; ""Plains""; ""Mountain""; ""City""; ""Jungle""]"
"""Spearow""","""https://archives.bulbagarden.net/media/upload/thumb/2/2d/0021Spearow.png/250px-0021Spearow.png""","[""Male""; ""Female""]",2,4,2,5,1,3,1,3,1,3,3,0,"[""Keen Eye""]","[[""Peck""; 0];[""Growl""; 0];[""Leer""; 1];[""Fury Attack""; 1];[""Pursuit""; 2];[""Aerial Ace""; 2];[""Assurance""; 2];[""Focus Energy""; 2];[""Mirror Move""; 2];[""Agility""; 2];[""Roost""; 3];[""Drill Peck""; 3];[""Tailwind""; 4];[""Scary Face""; 4];[""Feather Dance""; 4]]",1,"[""Normal""; ""Flying""]","[""Forest""; ""Plains""; ""Mountain""]"
"""Fearow""","""https://archives.bulbagarden.net/media/upload/thumb/9/92/0022Fearow.png/250px-0022Fearow.png""","[""Male""; ""Female""]",2,5,3,6,2,4,2,4,2,4,4,1,"[""Keen Eye""]","[[""Peck""; 0];[""Growl""; 0];[""Leer""; 1];[""Fury Attack""; 1];[""Pursuit""; 2];[""Aerial Ace""; 2];[""Drill Run""; 2];[""Pluck""; 2];[""Assurance""; 2];[""Focus Energy""; 2];[""Mirror Move""; 2];[""Agility""; 2];[""Roost""; 3];[""Drill Peck""; 3];[""Sky Attack""; 4];[""Scary Face""; 4];[""Curse""; 4]]",1,"[""Normal""; ""Flying""]","[""Forest""; ""Plains""; ""Mountain""]"
"""Ekans""","""https://archives.bulbagarden.net/media/upload/thumb/d/d2/0023Ekans.png/250px-0023Ekans.png""","[""Male""; ""Female""]",2,4,2,4,1,3,1,3,2,4,3,0,"[""Intimidate""; ""Shed Skin"";]","[[""Wrap""; 0];[""Leer""; 0];[""Poison Sting""; 1];[""Bite""; 1][""Glare""; 1];[""Screech""; 2];[""Acid""; 2];[""Stockpile""; 2];[""Spit Up""; 2];[""Swallow""; 2];[""Acid Spray""; 2];[""Mud Bomb""; 2];[""Gastro Acid""; 3];[""Belch""; 3];[""Haze""; 3];[""Coil""; 3];[""Gunk Shot""; 3];[""Aqua Tail""; 4];[""Scary Face""; 4];[""Disable""; 4]]",1,"[""Poison""]","[""Forest""; ""Plains""; ""Mountain""; ""Jungle""]"
"""Arbok""","""https://archives.bulbagarden.net/media/upload/thumb/5/51/0024Arbok.png/250px-0024Arbok.png""","[""Male""; ""Female""]",3,6,2,5,2,5,2,4,2,5,5,1,"[""Intimidate""; ""Shed Skin"";]","[[""Wrap""; 0];[""Leer""; 0];[""Poison Sting""; 1];[""Bite""; 1][""Glare""; 1];[""Screech""; 2];[""Acid""; 2];[""Ice Fang""; 2];[""Thunder Fang""; 2];[""Fire Fang""; 2];[""Crunch""; 2];[""Stockpile""; 2];[""Spit Up""; 2];[""Swallow""; 2];[""Acid Spray""; 2];[""Mud Bomb""; 2];[""Gastro Acid""; 3];[""Belch""; 3];[""Haze""; 3];[""Coil""; 3];[""Gunk Shot""; 3][""Spite""; 3];[""Aqua Tail""; 4];[""Iron Tail""; 4]]",1,"[""Poison""]","[""Forest""; ""Plains""; ""Mountain""; ""Jungle""]"
"""Pikachu""","""https://archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/250px-0025Pikachu.png""","[""Male""; ""Female""]",2,4,2,5,1,3,2,4,2,4,4,0,"[""Static""; ""Lightning Rod""]","[[""Thunder Shock""; 0];[""Tail Whip""; 0];[""Growl""; 1];[""Play Nice""; 1];[""Quick Attack""; 1];[""Thunder Wave""; 1];[""Electro Ball""; 2];[""Double Team""; 2];[""Nuzzle""; 2];[""Slam""; 2];[""Spark""; 2];[""Thunderbolt""; 2];[""Feint""; 2];[""Agility""; 2];[""Discharge""; 3];[""Light Screen""; 3];[""Thunder""; 3];[""Wild Charge""; 3];[""Surf""; 4];[""Volt Tackle""; 4];[""Extreme Speed""; 4]]",1,"[""Electric""]","[""Forest""; ""Plains""; ""Jungle""; ""City""]"
"""Raichu""","""https://archives.bulbagarden.net/media/upload/thumb/b/b0/0026Raichu.png/250px-0026Raichu.png""","[""Male""; ""Female""]",2,5,3,6,2,4,3,6,2,5,5,1,"[""Static""; ""Lightning Rod""]","[[""Thunder Shock""; 0];[""Tail Whip""; 0];[""Quick Attack""; 1];[""Thunderbolt""; 2];[""Fake Out""; 2];[""Volt Tackle""; 4];[""Wish""; 4]]",1,"[""Electric""]","[""Forest""; ""Plains""; ""Jungle""; ""City""]"
"""Raichu (Alola)""","""https://archives.bulbagarden.net/media/upload/thumb/6/65/0026Raichu-Alola.png/600px-0026Raichu-Alola.png""","[""Male""; ""Female""]",2,5,3,6,2,4,3,6,2,5,5,1,"[""Surge Surfer""]","[[""Thunder Shock""; 0];[""Tail Whip""; 0];[""Quick Attack""; 1];[""Thunderbolt""; 2];[""Psychic""; 2];[""Speed Swap""; 3];[""Electric Terrain""; 3];[""Volt Tackle""; 4];[""Reflect""; 4]]",7,"[""Electric""; ""Psychic""]","[""Forest""; ""Jungle""; ""Ocean""]"
"""Sandshrew""","""https://archives.bulbagarden.net/media/upload/thumb/e/e9/0027Sandshrew.png/250px-0027Sandshrew.png""","[""Male""; ""Female""]",2,5,1,3,2,5,1,3,1,3,3,1,"[""Sand Veil""; ""Sand Rush""]","[[""Scratch""; 0];[""Defense Curl""; 0];[""Sand Attack""; 1];[""Poison Sting""; 1];[""Rollout""; 1];[""Rapid Spin""; 2];[""Swift""; 2];[""Fury Cutter""; 2];[""Magnitude""; 2];[""Fury Swipes""; 2];[""Sand Tomb""; 2];[""Dig""; 2];[""Slash""; 3];[""Gyro Ball""; 3];[""Swords Dance""; 3];[""Sandstorm""; 3];[""Earthquake""; 3];[""Stealth Rock""; 4];[""Bulldoze""; 4];[""Metal Claw""; 4]]",1,"[""Ground""]","[""Desert""; ""Cave""; ""Mountain""]"
"""Sandslash""","""https://archives.bulbagarden.net/media/upload/thumb/a/a4/0028Sandslash.png/250px-0028Sandslash.png""","[""Male""; ""Female""]",3,6,2,4,3,6,2,4,2,4,4,2,"[""Sand Veil""; ""Sand Rush""]","[[""Scratch""; 0];[""Defense Curl""; 0];[""Sand Attack""; 1];[""Poison Sting""; 1];[""Rollout""; 1];[""Rapid Spin""; 2];[""Swift""; 2];[""Fury Cutter""; 2];[""Magnitude""; 2];[""Fury Swipes""; 2];[""Crush Claw""; 2];[""Sand Tomb""; 2];[""Dig""; 2];[""Slash""; 3];[""Gyro Ball""; 3];[""Swords Dance""; 3];[""Night Slash""; 3];[""Sandstorm""; 3];[""Earthquake""; 3];[""Stealth Rock""; 4];[""Counter""; 4]]",1,"[""Ground""]","[""Desert""; ""Cave""; ""Mountain""]"
"""Sandshrew (Alola)""","""https://archives.bulbagarden.net/media/upload/thumb/f/f4/0027Sandshrew-Alola.png/600px-0027Sandshrew-Alola.png""","[""Male""; ""Female""]",2,5,1,3,2,5,1,2,1,3,3,1,"[""Snow Cloak""; ""Slush Rush""]","[[""Scratch""; 0];[""Defense Curl""; 0];[""Bide""; 1];[""Powder Snow""; 1];[""Ice Ball""; 1];[""Rapid Spin""; 2];[""Swift""; 2];[""Fury Cutter""; 2];[""Metal Claw""; 2];[""Fury Swipes""; 2];[""Iron Defense""; 2];[""Slash""; 3];[""Iron Head""; 3];[""Gyro Ball""; 3];[""Swords Dance""; 3];[""Hail""; 3];[""Blizzard""; 3];[""Chip Away""; 4];[""Aerial Ace""; 4];[""Counter""; 4]]",7,"[""Ice""; ""Steel""]","[""Cave""; ""Snow""; ""Mountain""]"
"""Sandslash (Alola)""","""https://archives.bulbagarden.net/media/upload/thumb/e/e0/0028Sandslash-Alola.png/600px-0028Sandslash-Alola.png""","[""Male""; ""Female""]",3,6,2,4,3,7,1,3,2,4,4,2,"[""Snow Cloak""; ""Slush Rush""]","[[""Icicle Spear""; 0];[""Metal Burst""; 1];[""Icicle Crash""; 2];[""Slash""; 2];[""Defense Curl""; 2];[""Ice Ball""; 2];[""Metal Claw""; 3];[""Chip Away""; 3];[""Counter""; 4];[""Aurora Veil""; 4]]",7,"[""Ice""; ""Steel""]","[""Cave""; ""Snow""; ""Mountain""]"
"""Nidoran (F)""","""https://archives.bulbagarden.net/media/upload/thumb/b/b2/0029Nidoran.png/250px-0029Nidoran.png""","[""Female""]",2,4,1,3,2,4,1,3,1,3,3,0,"[""Poison Point""; ""Rivalry""]","[[""Scratch""; 0];[""Growl""; 0];[""Tail Whip""; 1];[""Double Kick""; 1];[""Poison Sting""; 1];[""Fury Swipes""; 2];[""Bite""; 2];[""Helping Hand""; 2];[""Toxic Spikes""; 2];[""Poison Fang""; 2];[""Flatter""; 3];[""Captivate""; 3];[""Crunch""; 3];[""Lovely Kiss""; 4];[""Moonlight""; 4];[""Charm""; 4]]",1,"[""Poison""]","[""Plains""; ""Jungle""]"
"""Nidorina""","""https://archives.bulbagarden.net/media/upload/thumb/e/ea/0030Nidorina.png/250px-0030Nidorina.png""","[""Female""]",2,4,2,4,2,4,2,4,2,4,4,1,"[""Poison Point""; ""Rivalry""]","[[""Scratch""; 0];[""Growl""; 0];[""Tail Whip""; 1];[""Double Kick""; 1];[""Poison Sting""; 1];[""Fury Swipes""; 2];[""Bite""; 2];[""Helping Hand""; 2];[""Toxic Spikes""; 2];[""Poison Fang""; 2];[""Flatter""; 3];[""Captivate""; 3];[""Crunch""; 3];[""Lovely Kiss""; 4];[""Moonlight""; 4];[""Charm""; 4]]",1,"[""Poison""]","[""Plains""; ""Jungle""]"
"""Nidoqueen""","""https://archives.bulbagarden.net/media/upload/thumb/9/9d/0031Nidoqueen.png/250px-0031Nidoqueen.png""","[""Female""]",3,6,2,5,2,5,2,5,2,5,5,2,"[""Poison Point""; ""Rivalry""]","[[""Scratch""; 0];[""Growl""; 0];[""Tail Whip""; 1];[""Double Kick""; 1];[""Poison Sting""; 1];[""Chip Away""; 2];[""Body Slam""; 2];[""Earth Power""; 3];[""Poison Tail""; 3];[""Shock Wave""; 3];[""Superpower""; 4];[""Icy Wind""; 4]]",1,"[""Poison""; ""Ground""]","[""Plains""; ""Jungle""]"
