Name,Pic,Gender,Str min,Str max,Dex min,Dex max,Vit min,Vit Max,Spec Min,Spec Max,Insight Min,Insight Max,HP Min,Int Rank Min,Abilities,Moves,Generation,Types,Environment
"""Gloom""","""https://archives.bulbagarden.net/media/upload/thumb/e/e0/0044Gloom.png/250px-0044Gloom.png""","[""Male""; ""Female""]",2,4,2,3,2,5,2,5,2,5,4,1,"[""Chlorophyll""]","[[""Growth""; 0];[""Absorb""; 0];[""Sweet Scent""; 1];[""Acid""; 1];[""Poison Powder""; 1];[""Stun Spore""; 2];[""Sleep Powder""; 2];[""Mega Drain""; 2];[""Lucky Chant""; 2];[""Natural Gift""; 2];[""Moonlight""; 2];[""Giga Drain""; 3];[""Petal Blizzard""; 3];[""Petal Dance""; 3];[""Grassy Terrain""; 3];[""Charm""; 4];[""Gastro Acid""; 4];[""Endure""; 4]]",1,"[""Grass""; ""Poison""]","[""Forest""; ""Jungle""; ""Cave""]"
"""Vileplume""","""https://archives.bulbagarden.net/media/upload/thumb/8/89/0045Vileplume.png/250px-0045Vileplume.png""","[""Male""; ""Female""]",2,5,2,4,2,5,3,6,2,5,5,2,"[""Chlorophyll""]","[[""Aromatherapy""; 1];[""Poison Powder""; 1];[""Stun Spore""; 2];[""Mega Drain""; 0];[""Petal Dance""; 2];[""Petal Blizzard""; 3];[""Solar Beam""; 3];[""Swords Dance""; 4];[""Seed Bomb""; 4];[""Drain Punch""; 4]]",1,"[""Grass""; ""Poison""]","[""Forest""; ""Jungle""; ""Cave""]"
"""Paras""","""https://archives.bulbagarden.net/media/upload/thumb/8/8a/0046Paras.png/250px-0046Paras.png""","[""Male""; ""Female""]",2,5,1,3,2,4,2,4,2,4,3,0,"[""Effect Spore""; ""Dry Skin""]","[[""Scratch""; 0];[""Stun Spore""; 0];[""Poison Powder""; 1];[""Absorb""; 1];[""Fury Cutter""; 1];[""Spore""; 2];[""Slash""; 2];[""Growth""; 2];[""Giga Drain""; 2];[""Aromatherapy""; 3];[""Rage Powder""; 3];[""X-Scissor""; 3];[""Wide Guard""; 4];[""Rototiller""; 4];[""Leech Seed""; 4]]",1,"[""Bug""; ""Grass""]","[""Forest""; ""Jungle""; ""Cave""]"
"""Parasect""","""https://archives.bulbagarden.net/media/upload/thumb/7/7b/0047Parasect.png/250px-0047Parasect.png""","[""Male""; ""Female""]",3,6,1,3,2,5,2,5,2,5,4,1,"[""Effect Spore""; ""Dry Skin""]","[[""Scratch""; 0];[""Stun Spore""; 0];[""Poison Powder""; 1];[""Absorb""; 1];[""Cross Poison""; 2];[""Fury Cutter""; 2];[""Spore""; 2];[""Slash""; 2];[""Growth""; 2];[""Giga Drain""; 2];[""Aromatherapy""; 3];[""Rage Powder""; 3];[""X-Scissor""; 3];[""Psybeam""; 4];[""Synthesis""; 4];[""Seed Bomb""; 4]]",1,"[""Bug""; ""Grass""]","[""Forest""; ""Jungle""; ""Cave""]"
"""Venonat""","""https://archives.bulbagarden.net/media/upload/thumb/2/2c/0048Venonat.png/250px-0048Venonat.png""","[""Male""; ""Female""]",2,4,1,3,2,4,2,4,2,4,3,1,"[""Compoundeyes""; ""Tinted Lens""]","[[""Tackle""; 0];[""Foresight""; 0];[""Disable""; 1];[""Supersonic""; 1];[""Confusion""; 2];[""Poison Powder""; 2];[""Leech Life""; 2];[""Stun Spore""; 2];[""Psybeam""; 2];[""Poison Fang""; 2];[""Signal Beam""; 3];[""Zen Headbutt""; 3];[""Sleep Powder""; 3];[""Psychic""; 3];[""Agility""; 4];[""Baton Pass""; 4];[""Giga Drain""; 4]]",1,"[""Bug""; ""Poison""]","[""Forest""; ""Jungle""]"
"""Venomoth""","""https://archives.bulbagarden.net/media/upload/thumb/0/0e/0049Venomoth.png/250px-0049Venomoth.png""","[""Male""; ""Female""]",2,4,2,4,2,5,2,5,2,5,4,2,"[""Shield Dust""; ""Tinted Lens""]","[[""Foresight""; 0];[""Disable""; 1];[""Supersonic""; 1];[""Confusion""; 1];[""Silver Wind""; 2];[""Quiver Dance""; 2];[""Poison Powder""; 2];[""Leech Life""; 2];[""Stun Spore""; 2];[""Psybeam""; 2];[""Poison Fang""; 2];[""Signal Beam""; 3];[""Zen Headbutt""; 3];[""Sleep Powder""; 3];[""Bug Buzz""; 3];[""Psychic""; 3];[""Morning Sun""; 4];[""Defog""; 4];[""Giga Drain""; 4]]",1,"[""Bug""; ""Poison""]","[""Forest""; ""Jungle""]"
"""Diglett""","""https://archives.bulbagarden.net/media/upload/thumb/a/a6/0050Diglett.png/250px-0050Diglett.png""","[""Male""; ""Female""]",2,4,3,6,1,3,1,3,1,3,3,0,"[""Sand Veil""; ""Arena Trap""","[[""Scratch""; 0];[""Sand Attack""; 0];[""Growl""; 1];[""Astonish""; 1];[""Mud Slap""; 1];[""Magnitude""; 2];[""Bulldoze""; 2];[""Sucker Punch""; 2];[""Mud Bomb""; 2];[""Earth Power""; 2];[""Dig""; 2];[""Slash""; 3];[""Earthquake""; 3];[""Fissure""; 3];[""Screech""; 4];[""Stealth Rock""; 4];[""Feint Attack""; 4]]",1,"[""Ground""]","[""Mountain""; ""Cave""; ""Desert""]"
"""Dugtrio""","""https://archives.bulbagarden.net/media/upload/thumb/8/88/0051Dugtrio.png/250px-0051Dugtrio.png""","[""Male""; ""Female""]",2,5,3,7,2,4,2,4,2,5,4,1,"[""Sand Veil""; ""Arena Trap""","[[""Sand Attack""; 0];[""Metal Claw""; 0];[""Growl""; 1];[""Astonish""; 1];[""Mud Slap""; 1];[""Magnitude""; 2];[""Bulldoze""; 2];[""Sucker Punch""; 2];[""Mud Bomb""; 2];[""Earth Power""; 2];[""Dig""; 2];[""Iron Head""; 3];[""Earth Quake; 3];[""Fissure""; 3];[""Feint Attack""; 4];[""Metal Sound""; 4];[""Thrash""; 4]]",1,"[""Ground""]","[""Mountain""; ""Cave""; ""Desert""]"
"""Diglett (Alola)""","""https://archives.bulbagarden.net/media/upload/6/61/0050Diglett-Alola.png""","[""Male""; ""Female""]",2,4,2,5,1,3,1,3,2,4,3,0,"[""Sand Veil""; ""Tangling Hair""]","[[""Sand Attack""; 0];[""Metal Claw""; 0];[""Growl""; 1];[""Astonish""; 1];[""Mud Slap""; 1];[""Magnitude""; 2];[""Bulldoze""; 2];[""Sucker Punch""; 2];[""Mud Bomb""; 2];[""Earth Power""; 2];[""Dig""; 2];[""Iron Head""; 3];[""Earth Quake; 3];[""Fissure""; 3];[""Feint Attack""; 4];[""Metal Sound""; 4];[""Thrash""; 4]]",7,"[""Ground""; ""Steel""]","[""Mountain""; ""Cave""; ""Desert""]"
"""Dugtrio (Alola)""","""https://archives.bulbagarden.net/media/upload/9/91/0051Dugtrio-Alola.png""","[""Male""; ""Female""]",3,6,3,6,2,4,2,4,2,5,4,1,"[""Sand Veil""; ""Tangling Hair""]","[[""Sand Attack""; 0];[""Metal Claw""; 0];[""Growl""; 1];[""Astonish""; 1];[""Mud Slap""; 1];[""Rototiller""; 2];[""Tri Attack""; 2];[""Magnitude""; 2];[""Bulldoze""; 2];[""Sucker Punch""; 3];[""Mud Bomb""; 2];[""Earth Power""; 2];[""Dig""; 2];[""Night Slash""; 3];[""Iron Head""; 3];[""Earth Quake; 3];[""Fissure""; 3];[""Ancient Power""; 4];[""Stone Edge""; 4];[""Thrash""; 4]]",7,"[""Ground""; ""Steel""]","[""Mountain""; ""Cave""; ""Desert""]"
